Grau de instrução;adm.analf;adm.5.inc;adm.5.comp;adm.6.a.9;adm.fund.comp;adm.med.inc;adm.med.comp;adm.sup.inc;adm.sup.comp;TOTAL;desl.analf;desl.5.inc;Ydesl.5.comp;desl.6.a.9;desl.fund.comp;desl.med.inc;desl.med.comp;desl.sup.inc;desl.sup.comp;TOTAL;deslVOLanalf;deslVOL5.inc;deslVOL5.comp;deslVOL6.a.9;deslVOLfund.comp;deslVOLmed.inc;deslVOLmed.comp;deslVOLsup.inc;deslVOLsup.comp;TOTAL
01/01/2000;19081;85841;120865;162058;198416;96610;220440;29208;54066;986585;16710;65204;94100;122112;140256;72265;141219;28462;42090;722418;2482;9798;14072;18909;22635;12569;22548;4064;8031;115108
01/02/2000;18911;94486;128446;169644;203148;104974;263902;52923;130028;1166462;19081;76592;109510;146087;166113;86138;171287;27390;53344;855542;2729;12324;17335;21547;25358;14218;27972;5526;13448;140457
01/03/2000;19882;89157;121053;169616;197753;104381;241547;37947;75967;1057303;23158;84294;116900;155175;178242;88729;175052;27478;47473;896501;2766;12532;18203;22922;26918;14693;29056;5543;11678;144311
01/04/2000;19420;91944;119701;167424;199606;106810;237518;36510;62856;1041789;23405;78156;101857;134807;154792;78885;161749;24951;40862;799464;2533;11716;16636;21370;24849;13677;27266;5156;10175;133378
01/05/2000;25935;150291;165653;189073;215737;112301;244861;35911;58377;1198139;18697;87285;121694;156381;176674;86934;177575;27841;45704;898785;2845;14194;19864;23724;27866;14337;30126;5654;11164;149774
01/06/2000;23247;127695;155739;176805;209464;107574;237396;34036;54642;1126598;16596;84914;116393;146312;166354;83314;170249;25758;47420;857310;2953;17534;21884;22812;26512;14130;28777;5522;10759;150883
01/07/2000;19928;100586;135116;160539;198415;104655;226351;32603;50537;1028730;16852;86014;114416;144072;163195;83095;169236;25970;47961;850811;3513;19485;23889;23958;26511;14729;29675;5615;11141;158516
01/08/2000;20556;97668;130223;175009;216251;115165;255572;36778;66662;1113884;18649;95646;131328;157762;179734;90872;185617;28903;47357;935868;3485;19933;24915;25722;29680;16069;31993;5972;12093;169862
01/09/2000;32247;96053;114441;159794;199500;107807;226575;33305;47035;1016757;19096;95722;123797;139599;158921;81503;164995;24464;42566;850663;3311;16993;21791;22856;27834;14953;29788;5422;9264;152212
01/10/2000;27489;97359;120877;166050;205053;110489;241575;32543;47400;1048835;23277;125606;147863;158935;176844;89030;196271;28681;41961;988468;3883;16196;20964;25476;31896;17341;32975;5411;9451;163593
01/11/2000;17794;79663;112281;160858;206004;114249;250610;31687;38691;1011837;21837;116737;136694;158819;178458;89235;187954;26418;41844;957996;3401;13062;17760;22839;29816;16214;32216;5432;8947;149687
01/12/2000;11261;50848;75660;113777;156852;84524;197143;26787;28954;745806;22703;115992;142496;172377;212577;102808;274798;40754;104379;1188884;3611;13374;18530;22516;29324;16570;38060;7056;16778;165819
01/01/2001;24247;112672;142410;193380;250850;128492;324949;44015;90445;1311460;17428;74747;109076;149417;182358;96133;201436;28453;46838;905886;2900;12174;18078;24409;30362;17281;35531;6537;12136;159408
01/02/2001;22031;91314;123636;169615;213862;113076;317204;51630;124172;1226540;21216;81681;108393;144418;173552;93003;195262;28735;51355;897615;2735;13001;17651;24223;29461;17109;35235;6490;13714;159619
